City,Country,Year,Ds,Event,discipline,category,rank,firstname,lastname,country,yob,Qualification score,Qualification rank,Semi-Final score,Semi-Final rank,1/8 score,1/4 score,1/2 score,Small Final score,Final score,Final rank
Salt Lake City,USA,2021,BS,WC,speed,Women,5,Anouck,Jaubert,FRA,1994,8.49,9,,,8.16,7.78,,,,5
Salt Lake City,USA,2021,BS,WC,speed,Women,6,Natalia,Kalucka,POL,2001,7.68,3,,,9.59,8.48,,,,6
Salt Lake City,USA,2021,BS,WC,speed,Women,7,Alexandra,Elmer,AUT,1996,8.54,10,,,9,8.63,,,,7
Salt Lake City,USA,2021,BS,WC,speed,Women,8,Capucine,Viglione,FRA,2002,7.94,4,,,7.87,10.58,,,,8
Salt Lake City,USA,2021,BS,WC,speed,Women,9,Franziska,Ritter,GER,2003,8.33,6,,,8.52,,,,,9
Salt Lake City,USA,2021,BS,WC,speed,Women,10,Callie,Close,USA,2004,8.72,13,,,8.7,,,,,10
Salt Lake City,USA,2021,BS,WC,speed,Women,11,Tetiana,Kolkotina,UKR,1992,8.68,12,,,8.95,,,,,11
Salt Lake City,USA,2021,BS,WC,speed,Women,12,Brooke,Raboutou,USA,2001,9.36,16,,,9.55,,,,,12
Salt Lake City,USA,2021,BS,WC,speed,Women,13,Akiyo,Noguchi,JPN,1989,9.12,15,,,10.2,,,,,13
Salt Lake City,USA,2021,BS,WC,speed,Women,14,Kyra,Condie,USA,1996,8.43,8,,,10.82,,,,,14
Salt Lake City,USA,2021,BS,WC,speed,Women,15,Janja,Garnbret,SLO,1999,8.36,7,,,14.47,,,,,15
Salt Lake City,USA,2021,BS,WC,speed,Women,16,Laura,Stöckler,AUT,1999,8.77,14,,,14.94,,,,,16
Salt Lake City,USA,2021,BS,WC,speed,Women,17,Petra,Klingler,SUI,1992,9.42,17,,,,,,,,
Salt Lake City,USA,2021,BS,WC,speed,Women,18,Alejandra,Contreras,CHI,2000,9.76,18,,,,,,,,
Salt Lake City,USA,2021,BS,WC,speed,Women,19,Julia,Duffy,USA,2004,10.27,19,,,,,,,,
Salt Lake City,USA,2021,BS,WC,speed,Women,20,Isabel,Gifford,USA,1999,11.28,20,,,,,,,,
Salt Lake City,USA,2021,BS,WC,speed,Women,21,Laura,Rogora,ITA,2001,11.59,21,,,,,,,,
Salt Lake City,USA,2021,BS,WC,speed,Women,22,Erin,Sterkenburg,RSA,2003,12.04,22,,,,,,,,
Salt Lake City,USA,2021,BS,WC,speed,Women,23,Aurelia,Sarisson,FRA,1997,12.28,23,,,,,,,,
Salt Lake City,USA,2021,BS,WC,speed,Women,24,Gabrielle,Tourtellotte,USA,1996,FALL,24,,,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,1,Sean,Bailey,USA,1996,4T5z 13 13,13,4T4z 13 12,2,,,,,2T4z 9 11,1
Salt Lake City,USA,2021,BS,WC,boulder,Men,2,Kokoro,Fujii,JPN,1992,5T5z 7 7,1,3T4z 7 7,5,,,,,1T4z 9 12,2
Salt Lake City,USA,2021,BS,WC,boulder,Men,3,Tomoa,Narasaki,JPN,1996,5T5z 8 6,2,4T4z 7 4,1,,,,,1T3z 1 3,3
Salt Lake City,USA,2021,BS,WC,boulder,Men,4,Yoshiyuki,Ogata,JPN,1998,4T4z 8 6,16,3T4z 4 4,4,,,,,0T2z 0 4,4
Salt Lake City,USA,2021,BS,WC,boulder,Men,5,Zach,Galla,USA,2000,4T5z 12 12,12,3T4z 3 9,3,,,,,0T1z 0 1,5
Salt Lake City,USA,2021,BS,WC,boulder,Men,6,Maximillian,Milne,GBR,2000,4T4z 11 9,18,3T4z 9 13,6,,,,,0T1z 0 2,6
Salt Lake City,USA,2021,BS,WC,boulder,Men,7,Manuel,Cornu,FRA,1993,3T5z 4 14,20,3T4z 9 15,7,,,,,,
Salt Lake City,USA,2021,BS,WC,boulder,Men,8,Alex,Waterhouse,GBR,1997,4T5z 6 13,7,2T4z 2 12,8,,,,,,
