discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-final score;Semi-final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
lead;Women;9;Manon;Hily;FRA;1994;39+;17;37+;7;12.0;10;29+;9;;;;;;
lead;Women;10;Hélène;Janicot;FRA;1993;TOP;1;33+;15;11.48;8;28;10;;;;;;
lead;Women;11;Risa;Ota;JPN;1993;TOP;1;31+;17;12.37;11;25;11;;;;;;
lead;Women;12;Molly;Thompson-Smith;GBR;1997;37;20;34+;11;15.81;14;25;12;;;;;;
lead;Women;13;Melina;Costanza;USA;1999;TOP;1;28;32;16.49;15;25;13;;;;;;
lead;Women;14;Giorgia;Tesio;ITA;2000;36+;21;30+;20;22.48;20;25;14;;;;;;
lead;Women;15;Aleksandra;Totkova;BUL;2005;TOP;1;TOP;1;5.05;1;24+;15;;;;;;
lead;Women;16;Vita;Lukan;SLO;2000;TOP;1;33+;15;11.48;8;24+;16;;;;;;
lead;Women;17;Camille;Pouget;FRA;2002;39+;17;35;10;13.42;13;24;17;;;;;;
lead;Women;18;Futaba;Ito;JPN;2002;35+;23;34+;11;17.32;16;24;18;;;;;;
lead;Women;19;Lucka;Rakovec;SLO;2001;TOP;1;18;55;22.86;21;24;19;;;;;;
lead;Women;20;Miu;KAKIZAKI;JPN;2003;33+;28;31+;17;23.24;24;24;20;;;;;;
lead;Women;21;Mei;Kotake;JPN;1997;TOP;1;31+;17;12.37;11;23+;21;;;;;;
lead;Women;22;ZHILU;LUO;CHN;2006;35+;23;34+;11;17.32;16;23+;22;;;;;;
lead;Women;23;Ryu;NAKAGAWA;JPN;2004;TOP;1;18;55;22.86;21;23+;23;;;;;;
lead;Women;24;Eliska;Adamovska;CZE;2001;24;57;39;6;18.49;18;22;24;;;;;;
lead;Women;25;Quinn;Mason;USA;2003;29+;42;34+;11;23.58;25;19+;25;;;;;;
lead;Women;26;Gayeong;OH;KOR;2006;35+;23;30+;20;23.75;26;19+;26;;;;;;
lead;Women;27;Salomé;Romain;FRA;1996;39+;17;27+;33;24.37;27;;;;;;;;
lead;Women;28;Michelle;Hulliger;SUI;1999;33+;28;30+;20;26.55;28;;;;;;;;
lead;Women;29;Claudia;Ghisolfi;ITA;1996;34+;26;28+;28;27.69;29;;;;;;;;
lead;Women;30;Anne-Sophie;Koller;SUI;1996;32+;33;30+;20;28.27;30;;;;;;;;
lead;Women;31;Alannah;Yip;CAN;1993;33+;28;28+;28;29.75;31;;;;;;;;
lead;Women;32;Tjasa;Slemensek;SLO;1999;30+;36;30+;20;30.08;32;;;;;;;;
lead;Women;33;Stasa;Gejo;SRB;1997;29+;42;30+;20;32.34;33;;;;;;;;
