discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;Final score;Final rank
lead;Women;40;Maya;Dreamer;ISR;2001;22+;39;25;38;40.19;40;;;;
lead;Women;41;Julia;Duffy;USA;2004;20;58;26+;27;42.74;41;;;;
lead;Women;42;Emilia;Warenski;AUT;2004;24+;29;12+;60;43.91;42;;;;
lead;Women;43;Jana;Rauth;AUT;2002;23+;32;21;58;45.06;43;;;;
lead;Women;44;Roxana;Wienand;GER;2000;19;64;26+;27;45.6;44;;;;
lead;Women;45;Hannah;Schubert;AUT;1997;22+;39;22+;47;45.63;45;;;;
lead;Women;45;Valeri;Kremer;ISR;1991;22+;39;22+;47;45.63;45;;;;
lead;Women;47;Ayala;Kerem;ISR;2001;20+;50;24+;39;47.68;47;;;;
lead;Women;47;Michaela;Smetanova;CZE;2003;22+;39;22;52;47.68;47;;;;
lead;Women;47;Aida;Torres Illamola;ESP;2002;20+;50;24+;39;47.68;47;;;;
lead;Women;47;Iziar;Martínez Almendros;ESP;2005;20+;50;24+;39;47.68;47;;;;
lead;Women;51;Sunniva;Øvre-Eide;NOR;2004;23+;32;12+;60;48.24;51;;;;
lead;Women;52;Valentina;Aguado;ARG;2001;19+;59;24+;39;50.92;52;;;;
lead;Women;52;Annika;Stöckl;AUT;2005;19+;59;24+;39;50.92;52;;;;
lead;Women;52;Irina;Kuzmenko;RUS;1995;19+;59;24+;39;50.92;52;;;;
lead;Women;55;Bianca;Magalhaes de Castro ;BRA;1988;20+;50;22+;47;51.2;55;;;;
lead;Women;56;Ingrid;Kindlihagen;NOR;2002;22+;39;12+;60;53.16;56;;;;
lead;Women;56;Elza Elizabete;Baraka;LAT;2001;22+;39;12+;60;53.16;56;;;;
lead;Women;58;Alejandra;Contreras;CHI;2000;20+;50;21+;56;54.98;58;;;;
lead;Women;58;Naama;Yohai;ISR;2000;20+;50;21+;56;54.98;58;;;;
lead;Women;60;Ignacia;Mellado Quinteros;CHI;2002;21;48;12+;60;56.79;60;;;;
