City,Country,Year,Ds,Event,discipline,category,rank,firstname,lastname,country,yob,Qualification score,Qualification rank,Semi-final score,Semi-final rank,Final score,Final rank
Brixen,ITA,2022,B,WC,boulder,Women,4,Miho,Nonaka,JPN,1997,3T5z 3 9,17,4T4z 5 5,2,1T4z 1 4,4
Brixen,ITA,2022,B,WC,boulder,Women,5,Anon,Matsufuji,JPN,2003,4T5z 11 12,15,3T4z 6 9,6,1T3z 4 6,5
Brixen,ITA,2022,B,WC,boulder,Women,6,Serika,Okawachi,JPN,1998,4T5z 5 5,5,3T4z 6 6,4,0T3z 0 8,6
Brixen,ITA,2022,B,WC,boulder,Women,7,Jessica,Pilz,AUT,1996,4T5z 6 7,7,3T4z 7 7,7,,
Brixen,ITA,2022,B,WC,boulder,Women,8,Futaba,Ito,JPN,2002,4T5z 6 10,10,3T4z 8 8,8,,
Brixen,ITA,2022,B,WC,boulder,Women,9,Fanny,Gibert,FRA,1993,5T5z 6 5,1,3T3z 8 7,9,,
Brixen,ITA,2022,B,WC,boulder,Women,10,Stasa,Gejo,SRB,1997,5T5z 9 8,7,2T4z 2 7,10,,
Brixen,ITA,2022,B,WC,boulder,Women,11,Vita,Lukan,SLO,2000,5T5z 10 9,11,2T4z 3 7,11,,
Brixen,ITA,2022,B,WC,boulder,Women,12,Ayala,Kerem,ISR,2001,4T5z 10 8,11,2T4z 4 5,12,,
Brixen,ITA,2022,B,WC,boulder,Women,13,Franziska,Sterrer,AUT,1998,5T5z 9 8,7,2T3z 3 3,13,,
Brixen,ITA,2022,B,WC,boulder,Women,14,Chaehyun,SEO,KOR,2003,5T5z 7 7,5,2T3z 3 5,14,,
Brixen,ITA,2022,B,WC,boulder,Women,15,Petra,Klingler,SUI,1992,3T5z 4 6,19,2T3z 4 5,15,,
Brixen,ITA,2022,B,WC,boulder,Women,16,Camilla,Moroni,ITA,2001,4T5z 13 10,15,2T2z 4 2,16,,
Brixen,ITA,2022,B,WC,boulder,Women,17,Julija,Kruder,SLO,1997,3T5z 5 7,19,1T3z 1 11,17,,
Brixen,ITA,2022,B,WC,boulder,Women,18,Oceania,Mackenzie,AUS,2002,4T5z 17 11,17,1T3z 2 6,18,,
Brixen,ITA,2022,B,WC,boulder,Women,19,Cloe,Coscoy,USA,2001,4T5z 10 8,11,1T3z 2 8,19,,
Brixen,ITA,2022,B,WC,boulder,Women,20,Holly,Toothill,GBR,2001,4T5z 12 11,14,1T3z 4 11,20,,
Brixen,ITA,2022,B,WC,boulder,Women,21,Nanako,Kura,JPN,2000,3T5z 8 11,21,,,,
Brixen,ITA,2022,B,WC,boulder,Women,21,Giorgia,Tesio,ITA,2000,3T5z 5 11,21,,,,
Brixen,ITA,2022,B,WC,boulder,Women,23,Chloe,Caulier,BEL,1996,3T5z 7 9,23,,,,
Brixen,ITA,2022,B,WC,boulder,Women,23,Katja,Debevec,SLO,1995,3T4z 8 7,23,,,,
Brixen,ITA,2022,B,WC,boulder,Women,25,Laura,Rogora,ITA,2001,2T5z 3 7,25,,,,
Brixen,ITA,2022,B,WC,boulder,Women,25,Quinn,Mason,USA,2003,3T5z 11 13,25,,,,
Brixen,ITA,2022,B,WC,boulder,Women,25,Agathe,Calliet,FRA,2003,3T5z 11 13,25,,,,
Brixen,ITA,2022,B,WC,boulder,Women,28,Sol,SA,KOR,1994,2T5z 3 11,28,,,,
Brixen,ITA,2022,B,WC,boulder,Women,29,Kylie,Cullen,USA,2004,3T5z 13 6,29,,,,
Brixen,ITA,2022,B,WC,boulder,Women,29,Sofya,Yokoyama,SUI,1998,2T5z 8 14,29,,,,
Brixen,ITA,2022,B,WC,boulder,Women,31,Adriene,Clark,USA,2004,2T4z 2 14,31,,,,
Brixen,ITA,2022,B,WC,boulder,Women,31,Aleksandra,Totkova,BUL,2005,3T4z 9 14,31,,,,
Brixen,ITA,2022,B,WC,boulder,Women,33,Hannah,Slaney,GBR,1999,2T5z 4 6,33,,,,
Brixen,ITA,2022,B,WC,boulder,Women,33,Yael,Taub,ISR,1996,2T4z 4 9,33,,,,
Brixen,ITA,2022,B,WC,boulder,Women,35,Alannah,Yip,CAN,1993,2T5z 4 7,35,,,,
Brixen,ITA,2022,B,WC,boulder,Women,35,Sandra,Lettner,AUT,2001,1T5z 3 17,35,,,,
Brixen,ITA,2022,B,WC,boulder,Women,37,Valentina,Aguado,ARG,2001,2T5z 5 16,37,,,,
Brixen,ITA,2022,B,WC,boulder,Women,37,Eva Maria,Hammelmüller,AUT,2000,1T4z 2 5,37,,,,
Brixen,ITA,2022,B,WC,boulder,Women,39,Madison,Fischer,CAN,2001,2T5z 7 6,39,,,,
Brixen,ITA,2022,B,WC,boulder,Women,39,Hana,KOIKE,JPN,2005,1T4z 2 6,39,,,,
Brixen,ITA,2022,B,WC,boulder,Women,41,Roxana,Wienand,GER,2000,1T4z 3 7,41,,,,
Brixen,ITA,2022,B,WC,boulder,Women,41,Federica,Papetti,ITA,2004,2T4z 3 9,41,,,,
Brixen,ITA,2022,B,WC,boulder,Women,43,Flavy,Cohaut,FRA,2001,2T4z 4 9,43,,,,
Brixen,ITA,2022,B,WC,boulder,Women,43,Saki,Kikuchi,JPN,2002,1T4z 7 7,43,,,,
Brixen,ITA,2022,B,WC,boulder,Women,45,Irina,Daziano,ITA,2004,2T4z 5 14,45,,,,
Brixen,ITA,2022,B,WC,boulder,Women,45,Rebeca,Pérez Duato,ESP,1998,1T3z 2 9,45,,,,
Brixen,ITA,2022,B,WC,boulder,Women,47,Maya,Madere,USA,1999,2T3z 2 3,47,,,,
Brixen,ITA,2022,B,WC,boulder,Women,47,Rocio Ailen,Becerra,ARG,1999,1T2z 6 13,47,,,,
Brixen,ITA,2022,B,WC,boulder,Women,49,Tara,Hayes,GBR,1997,0T4z 0 4,49,,,,
Brixen,ITA,2022,B,WC,boulder,Women,49,Giulia,Medici,ITA,1999,1T5z 2 14,49,,,,
Brixen,ITA,2022,B,WC,boulder,Women,51,Leonie,Lochner,GER,2000,0T4z 0 5,51,,,,
Brixen,ITA,2022,B,WC,boulder,Women,51,Maya,Dreamer,ISR,2001,1T5z 3 25,51,,,,
Brixen,ITA,2022,B,WC,boulder,Women,53,Jennifer,Wood,GBR,1994,1T5z 4 14,53,,,,
Brixen,ITA,2022,B,WC,boulder,Women,53,Aida,Torres Illamola,ESP,2002,0T4z 0 8,53,,,,
Brixen,ITA,2022,B,WC,boulder,Women,55,Afra,Hönig,GER,1995,1T4z 1 12,55,,,,
Brixen,ITA,2022,B,WC,boulder,Women,55,Paige,Boklaschuk,CAN,2002,0T4z 0 10,55,,,,
Brixen,ITA,2022,B,WC,boulder,Women,57,Hung Ying,Lee,TPE,1985,1T4z 3 7,57,,,,
Brixen,ITA,2022,B,WC,boulder,Women,57,HONGCHUN,XIANG,CHN,1998,0T4z 0 14,57,,,,
Brixen,ITA,2022,B,WC,boulder,Women,59,YUETONG,Zhang,CHN,2003,1T4z 5 10,59,,,,
Brixen,ITA,2022,B,WC,boulder,Women,59,Natalie,Bärtschi,SUI,1994,0T3z 0 4,59,,,,
Brixen,ITA,2022,B,WC,boulder,Women,61,Margaryta,Zakharova,UKR,1995,0T3z 0 5,61,,,,
Brixen,ITA,2022,B,WC,boulder,Women,61,Francesca,Matuella,ITA,2006,0T3z 0 5,61,,,,
Brixen,ITA,2022,B,WC,boulder,Women,61,Miriam,Fogu,ITA,2002,0T4z 0 11,61,,,,
Brixen,ITA,2022,B,WC,boulder,Women,64,Yejoo,SEO,KOR,2006,0T4z 0 20,64,,,,
Brixen,ITA,2022,B,WC,boulder,Women,65,Beatrice,Colli,ITA,2004,0T3z 0 5,65,,,,
Brixen,ITA,2022,B,WC,boulder,Women,65,Kseniia,ZAKHAROVA,UKR,2006,0T3z 0 8,65,,,,
Brixen,ITA,2022,B,WC,boulder,Women,67,Laura,Loikas,FIN,2002,0T3z 0 15,67,,,,
Brixen,ITA,2022,B,WC,boulder,Women,67,Yula,Gold,ISR,2002,0T3z 0 12,67,,,,
Brixen,ITA,2022,B,WC,boulder,Women,69,Valeri,Kremer,ISR,1991,0T3z 0 14,69,,,,
Brixen,ITA,2022,B,WC,boulder,Women,69,Anna Maria,Apel,GER,2005,0T2z 0 6,69,,,,
Brixen,ITA,2022,B,WC,boulder,Women,69,Lia,Wieckowski,CAN,1997,0T2z 0 6,69,,,,
Brixen,ITA,2022,B,WC,boulder,Women,72,Rebecca,Frangos,CAN,1997,0T2z 0 2,72,,,,
Brixen,ITA,2022,B,WC,boulder,Women,72,Anastasia,KOBETS,UKR,2006,0T2z 0 2,72,,,,
Brixen,ITA,2022,B,WC,boulder,Women,74,Mia,Weeda,AUS,2004,0T2z 0 18,74,,,,
Brixen,ITA,2022,B,WC,boulder,Women,75,Phoebe,Kenderdine,NZL,2003,0T1z 0 2,75,,,,
Brixen,ITA,2022,B,WC,boulder,Women,75,Wai-mui,LING,HKG,2001,0T2z 0 8,75,,,,
Brixen,ITA,2022,B,WC,boulder,Women,77,Rugile,Tamosiunaite,LTU,2000,0T1z 0 4,77,,,,
Brixen,ITA,2022,B,WC,boulder,Women,77,Tseng-shun,WONG,HKG,2001,0T1z 0 2,77,,,,
Brixen,ITA,2022,B,WC,boulder,Women,79,Elizabeth,Sepulveda,PUR,2002,0T0z 0 0,79,,,,
Brixen,ITA,2022,B,WC,boulder,Women,79,Siobhan,Dobie,AUS,1997,0T1z 0 5,79,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,1,Adam,Ondra,CZE,1993,4T5z 14 9,1,3T3z 7 6,1,3T3z 10 7,1
Meiringen,SUI,2021,B,WC,boulder,Men,2,Yoshiyuki,Ogata,JPN,1998,2T5z 8 11,17,2T3z 6 8,3,2T4z 7 9,2
Meiringen,SUI,2021,B,WC,boulder,Men,3,Tomoaki,Takata,JPN,1995,2T5z 6 12,13,2T3z 5 6,2,1T4z 4 12,3
Meiringen,SUI,2021,B,WC,boulder,Men,4,Kokoro,Fujii,JPN,1992,4T5z 5 5,1,2T2z 6 2,6,1T3z 1 4,4
Meiringen,SUI,2021,B,WC,boulder,Men,5,Nathaniel,Coleman,USA,1997,3T5z 5 6,5,2T2z 4 3,5,1T3z 2 5,5
Meiringen,SUI,2021,B,WC,boulder,Men,6,Sohta,Amagasa,JPN,2000,3T5z 5 17,3,2T3z 10 11,4,0T3z 0 4,6
Meiringen,SUI,2021,B,WC,boulder,Men,7,Jernej,Kruder,SLO,1990,3T5z 11 11,5,2T2z 7 6,7,,
Meiringen,SUI,2021,B,WC,boulder,Men,8,Alexander,Megos,GER,1993,3T5z 8 9,9,2T2z 8 3,8,,
Meiringen,SUI,2021,B,WC,boulder,Men,9,Gregor,Vezonik,SLO,1995,2T5z 8 13,19,2T2z 10 10,9,,
Meiringen,SUI,2021,B,WC,boulder,Men,10,Domen,Skofic,SLO,1994,3T5z 3 6,3,1T2z 1 9,10,,
Meiringen,SUI,2021,B,WC,boulder,Men,11,Manuel,Cornu,FRA,1993,3T5z 14 17,7,1T2z 2 5,11,,
Meiringen,SUI,2021,B,WC,boulder,Men,12,Mejdi,Schalck,FRA,2004,2T5z 5 18,11,1T2z 2 6,12,,
Meiringen,SUI,2021,B,WC,boulder,Men,13,Sean,Bailey,USA,1996,2T5z 4 13,17,1T2z 3 3,13,,
Meiringen,SUI,2021,B,WC,boulder,Men,14,Nicolai,Uznik,AUT,2000,3T5z 6 6,7,1T2z 3 4,14,,
Meiringen,SUI,2021,B,WC,boulder,Men,15,Zan,Lovenjak Sudar,SLO,1998,3T4z 7 8,13,1T1z 1 1,15,,
Meiringen,SUI,2021,B,WC,boulder,Men,16,Ross,Fulkerson,USA,2001,2T5z 7 13,15,1T1z 2 1,16,,
Meiringen,SUI,2021,B,WC,boulder,Men,17,Aleksey,Rubtsov,RUS,1988,3T5z 10 7,11,1T1z 8 2,17,,
Meiringen,SUI,2021,B,WC,boulder,Men,18,Sascha,Lehmann,SUI,1998,2T5z 4 14,19,0T1z 0 4,18,,
Meiringen,SUI,2021,B,WC,boulder,Men,19,Yannick,Flohé,GER,1999,3T4z 12 7,15,0T1z 0 7,19,,
Meiringen,SUI,2021,B,WC,boulder,Men,19,Nicolas,Collin,BEL,1998,2T5z 4 13,9,0T1z 0 7,19,,
Meiringen,SUI,2021,B,WC,boulder,Men,21,Rei,Sugimoto,JPN,1991,2T5z 6 16,21,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,21,Anze,Peharc,SLO,1997,2T5z 9 10,21,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,23,Jan,Hojer,GER,1992,2T4z 3 6,23,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,23,Jakob,Schubert,AUT,1990,2T5z 9 12,23,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,25,Keita,Watabe,JPN,1993,2T4z 3 9,25,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,25,Yuta,IMAIZUMI,JPN,2000,2T4z 6 11,25,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,27,Michael,Piccolruaz,ITA,1995,2T3z 5 4,27,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,27,Sergii,Topishko,UKR,1988,2T4z 5 7,27,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,29,Alex,Khazanov,ISR,1995,2T4z 5 10,29,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,29,Simon,Lorenzi,BEL,1997,1T5z 1 7,29,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,31,Colin,Duffy,USA,2003,2T4z 10 13,31,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,31,Nino,Grünenfelder,SUI,2001,1T5z 3 6,31,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,33,Baptiste,Ometz,SUI,1998,1T5z 3 14,33,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,33,Mark,Brand,NED,1998,2T4z 11 17,33,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,35,Mickael,Mawem,FRA,1990,1T5z 3 15,35,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,35,Julien,Clémence,SUI,2001,2T2z 8 8,35,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,37,Nimrod,Marcus,ISR,1999,1T4z 3 7,37,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,37,Paul,Jenft,FRA,2003,1T5z 3 11,37,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,39,Sergei,Luzhetskii,RUS,1995,1T4z 4 10,39,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,39,Pierre,Le Cerf,FRA,2000,1T5z 3 19,39,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,41,Attila Zsombor,Radics,HUN,2004,1T3z 3 4,41,,,,
Meiringen,SUI,2021,B,WC,boulder,Men,41,Max,Kleesattel,GER,1998,1T5z 5 20,41,,,,
