discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-final score;Semi-final rank;Final score;Final rank
lead;Men;1;Colin;Duffy;USA;2003;43;2;TOP;1;2.83;3;43;3;38+;1
lead;Men;2;Ao;YURIKUSA;JPN;2002;42+;3;TOP;1;3.74;5;45+;1;37+ (3:14);2
lead;Men;3;Jesse;Grupper;USA;1997;40+;7;TOP;1;5.66;11;45+;1;37+ (4:28);3
lead;Men;4;Luka;Potocar;SLO;2001;27;18;33+;1;4.3;5;41+;4;37;4
lead;Men;5;Jakob;Schubert;AUT;1990;43+;1;TOP;1;2.0;1;41+;4;36+;5
lead;Men;6;Satone;YOSHIDA;JPN;2004;33+;3;23+;12;10.28;17;38+;8;36+;6
lead;Men;7;Yannick;Flohé;GER;1999;37+;1;24;10;3.24;3;41+;4;31;7
lead;Men;8;Alexander;Megos;GER;1993;35;2;30+;2;2.0;1;38+;8;28+;8
lead;Men;9;Taisei;Homma;JPN;1999;42+;3;45;8;5.29;9;40;7;21+;9
lead;Men;10;Sascha;Lehmann;SUI;1998;36+;10;44+;9;9.75;19;38;10;;
lead;Men;11;Sean;Bailey;USA;1996;33+;3;27;4;4.5;7;37+;11;;
lead;Men;12;Yoshiyuki;Ogata;JPN;1998;41+;5;TOP;1;4.69;7;36+;12;;
lead;Men;13;Stefan;Scherz;AUT;2001;32+;7;23+;12;12.83;21;33+;13;;
lead;Men;13;Mejdi;Schalck;FRA;2004;36;11;42+;11;11.0;21;33+;13;;
lead;Men;13;Giovanni;Placci;ITA;2001;40+;7;44+;9;8.72;17;33+;13;;
lead;Men;13;Martin;Stranik;CZE;1990;30+;8;23+;12;14.94;23;33+;13;;
lead;Men;13;Sebastian;Halenke;GER;1995;35+;12;41+;12;12.49;23;33+;13;;
lead;Men;18;Domen;Skofic;SLO;1994;41+;5;29+;28;13.06;26;33;18;;
lead;Men;18;Stefano;Ghisolfi;ITA;1993;40+;7;TOP;1;5.66;11;33;18;;
lead;Men;20;Filip;Schenk;ITA;2000;30+;8;27;4;6.54;11;31;20;;
lead;Men;21;Nimrod;Marcus;ISR;1999;30+;8;23+;12;14.94;23;29+;21;;
lead;Men;22;Mikel Asier;Linacisoro Molina;ESP;2000;26+;20;25+;6;11.62;19;29;22;;
lead;Men;23;Dimitri;Vogt;SUI;1997;27+;15;27+;3;6.93;15;26+;23;;
lead;Men;24;Romaric;GEFFROY;FRA;1996;33+;3;24+;8;6.18;9;24+;24;;
lead;Men;25;Hamish;McArthur;GBR;2002;35;15;TOP;1;7.75;15;13+;25;;
lead;Men;26;Hannes;Puman;SWE;1997;33+;3;24;10;6.87;14;13;26;;
lead;Men;27;Milan;Preskar;SLO;1996;22;33;25;7;15.31;27;;;;
lead;Men;27;Kokoro;Fujii;JPN;1992;35+;12;40+;13;13.73;27;;;;
lead;Men;29;Sungsu;LEE;KOR;1999;34;16;37;18;16.97;29;;;;
