discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-final score;Semi-final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
lead;Women;44;Emily;Herdic;USA;2002;20+;41;24+;41;42.0;44;;;;;;;;
lead;Women;45;Bianca;Magalhaes de Castro ;BRA;1988;20;45;24+;41;43.45;45;;;;;;;;
lead;Women;46;Hannah;Kerr;GBR;2005;20+;41;23+;43;43.97;46;;;;;;;;
lead;Women;47;Margarita;Agambayeva;KAZ;1999;16;49;28+;39;43.99;47;;;;;;;;
lead;Women;48;Emma;Futcher;GBR;2003;20;45;23+;43;45.5;48;;;;;;;;
lead;Women;49;Thea;Cameron;GBR;2000;20+;41;22;49;45.63;49;;;;;;;;
speed;Men;1;Samuel;Watson;USA;2006;;;;;5.49;1;;;5.80;WILDCARD;5.61;;5.97;1
speed;Men;2;JINBAO;LONG;CHN;2000;;;;;5.73;10;;;5.54;5.38;5.42;;6.93;2
speed;Men;3;Erik;Noya Cardona;ESP;1994;;;;;5.56;3;;;5.68;5.48;FALL;WILDCARD;;3
speed;Men;4;Gian Luca;Zodda;ITA;1999;;;;;5.58;4;;;5.76;5.62;FALL;FALSE START;;4
speed;Men;5;JIANGUO;LONG;CHN;2003;;;;;5.50;2;;;5.48;FALL;;;;5
speed;Men;6;Rishat;Khaibullin;KAZ;1995;;;;;5.59;5;;;WILDCARD;6.40;;;;6
speed;Men;7;John;Brosler;USA;1997;;;;;5.60;6;;;5.91;FALL;;;;7
speed;Men;8;Yongjun;JUNG;KOR;2003;;;;;5.67;8;;;5.82;FALSE START;;;;8
speed;Men;9;Guillaume;Moro;FRA;1994;;;;;5.62;7;;;5.91;;;;;9
speed;Men;10;Ryo;OMASA;JPN;2002;;;;;5.69;9;;;5.94;;;;;10
speed;Men;11;Ethan;Pitcher;CAN;2001;;;;;5.78;11;;;9.44;;;;;11
speed;Men;12;Noah;Bratschi;USA;2000;;;;;5.84;12;;;FALSE START;;;;;12
speed;Men;13;Richard;Li;USA;2006;;;;;5.94;13;;;8.54;;;;;13
speed;Men;14;Leander;Carmanns;GER;2004;;;;;6.060;14;;;5.83;;;;;14
speed;Men;15;Lukas;Knapp;AUT;1997;;;;;6.068;15;;;7.78;;;;;15
speed;Men;16;Joe;Goodacre;USA;2001;;;;;6.07;16;;;8.83;;;;;16
speed;Men;17;Alessandro;Cingari;ITA;1999;;;;;6.08;17;;;;;;;;
speed;Men;18;Michael;Finn-Henry;CAN;1999;;;;;6.15;18;;;;;;;;
speed;Men;19;Munekazu;KITAMI;JPN;1992;;;;;6.22;19;;;;;;;;
speed;Men;20;Alisher;Murat;KAZ;1997;;;;;6.23;20;;;;;;;;
speed;Men;21;Matthew;Fall;GBR;2002;;;;;6.26;21;;;;;;;;
speed;Men;22;Linus;Bader;GER;2002;;;;;6.27;22;;;;;;;;
speed;Men;23;Hubert;Przytula;POL;1993;;;;;6.298;23;;;;;;;;
speed;Men;24;Hajime;Takeda;JPN;2002;;;;;6.299;24;;;;;;;;
speed;Men;25;Marco;Rontini;ITA;2005;;;;;6.32;25;;;;;;;;
speed;Men;26;Cheung-chi Shoji;Chan;HKG;1995;;;;;6.50;26;;;;;;;;
speed;Men;27;PENG;WU;CHN;2002;;;;;6.64;27;;;;;;;;
speed;Men;28;Joshua;Bruyns;RSA;2003;;;;;6.73;28;;;;;;;;
speed;Men;29;Andrew;Goodall;GBR;2005;;;;;6.75;29;;;;;;;;
speed;Men;30;Chi-fung;AU;HKG;1995;;;;;6.76;30;;;;;;;;
speed;Men;31;Ludovico;Fossali;ITA;1997;;;;;6.81;31;;;;;;;;
speed;Men;32;Ayumu;MITA;JPN;2005;;;;;7.82;32;;;;;;;;
speed;Men;33;Shuto;FUJINO;JPN;2004;;;;;8.16;33;;;;;;;;
speed;Men;34;Amir;Maimuratov;KAZ;1995;;;;;8.33;34;;;;;;;;
speed;Men;35;Rafe;Stokes;GBR;2005;;;;;8.41;35;;;;;;;;
speed;Men;36;Alessandro;Boulos;ITA;1994;;;;;9.27;36;;;;;;;;
speed;Men;37;LONG;CAO;CHN;2000;;;;;FALSE START;37;;;;;;;;
speed;Men;37;Marcin;Dzienski;POL;1993;;;;;FALSE START;37;;;;;;;;
speed;Men;37;Danyil;Boldyrev;UKR;1992;;;;;FALSE START;37;;;;;;;;
speed;Men;37;LIANG;ZHANG;CHN;2003;;;;;FALSE START;37;;;;;;;;
speed;Men;37;Zach;Hammer;USA;2006;;;;;FALSE START;37;;;;;;;;
speed;Women;1;Aleksandra;Kalucka;POL;2001;;;;;7.06;3;;;7.07;6.93;6.83;;7.47;1
speed;Women;2;Natalia;Kalucka;POL;2001;;;;;7.00;1;;;7.34;7.08;7.24;;FALL;2
speed;Women;3;Emma;Hunt;USA;2003;;;;;7.02 (PaR);2;;;7.06;6.88;6.84;7.28;;3
speed;Women;4;Giulia;Randi ;ITA;2002;;;;;7.698;12;;;7.50;8.38;10.08;7.63;;4
speed;Women;5;Patrycja;Chudziak;POL;1997;;;;;7.579;6;;;7.65;8.71;;;;5
speed;Women;6;YUFANG;XIE;CHN;2002;;;;;7.67;9;;;7.78;10.41;;;;6
speed;Women;6;DI;NIU;CHN;1996;;;;;7.67;9;;;7.65;FALL;;;;6
speed;Women;8;Anna;Brozek;POL;1995;;;;;7.699;13;;;7.61;9.11;;;;8
speed;Women;9;LIJUAN;DENG;CHN;2000;;;;;7.24;4;;;7.72;;;;;9
speed;Women;10;SHENGYAN;WANG;CHN;2000;;;;;7.574;5;;;7.57;;;;;10
speed;Women;11;Aurelia;Sarisson;FRA;1997;;;;;7.62;7;;;8.82;;;;;11
speed;Women;12;Capucine;Viglione;FRA;2002;;;;;7.66;8;;;7.80;;;;;12
speed;Women;13;Beatrice;Colli;ITA;2004;;;;;7.691;11;;;7.76;;;;;13
speed;Women;14;Tamara;Ulzhabayeva;KAZ;1987;;;;;8.03;14;;;8.01;;;;;14
speed;Women;15;GUIZHEN;XIE;CHN;1998;;;;;8.07;15;;;8.11;;;;;15
speed;Women;16;Sofia;Bellesini;ITA;2005;;;;;8.18;16;;;8.16;;;;;16
speed;Women;17;Julia;Koch;GER;2000;;;;;8.28;17;;;;;;;;
speed;Women;18;Assel;Marlenova;KAZ;1997;;;;;8.42;18;;;;;;;;
speed;Women;19;Natsumi;HAYASHI;JPN;1991;;;;;8.79;19;;;;;;;;
speed;Women;20;Jimin;JEONG;KOR;2004;;;;;8.80;20;;;;;;;;
speed;Women;21;Franziska;Ritter;GER;2003;;;;;9.65;21;;;;;;;;
speed;Women;22;Manami;AIBARA;JPN;2003;;;;;9.93;22;;;;;;;;
speed;Women;23;Sophia;Curcio;USA;2006;;;;;9.94;23;;;;;;;;
speed;Women;24;Saveena;Fillingham;GBR;2005;;;;;10.29;24;;;;;;;;
speed;Women;25;Haruka;KANETANI;JPN;2006;;;;;11.50;25;;;;;;;;
speed;Women;26;Margarita;Agambayeva;KAZ;1999;;;;;FALL;26;;;;;;;;
speed;Women;27;Erica;Velev;CAN;2002;;;;;FALSE START;27;;;;;;;;
