discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-final score;Semi-final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
speed;Men;44;Julian Ronan;David;NZL;2005;;;;;7.83;44;;;;;;;;
speed;Men;45;Shuto;FUJINO;JPN;2004;;;;;7.92;45;;;;;;;;
speed;Men;46;Michael;Finn-Henry;CAN;1999;;;;;7.96;46;;;;;;;;
speed;Men;47;Aaron;Mattes;AUS;2002;;;;;10.55;47;;;;;;;;
speed;Men;48;Danyil;Boldyrev;UKR;1992;;;;;FALL;48;;;;;;;;
speed;Men;48;LIANG;ZHANG;CHN;2003;;;;;FALL;48;;;;;;;;
speed;Men;48;Flynn Hugh;Chisholm;NZL;2005;;;;;FALL;48;;;;;;;;
speed;Men;51;Hajime;Takeda;JPN;2002;;;;;FALSE START;51;;;;;;;;
speed;Men;51;Reza;Alipour Shenazandifard;IRI;1994;;;;;FALSE START;51;;;;;;;;
speed;Men;51;Zach;Hammer;USA;2006;;;;;FALSE START;51;;;;;;;;
speed;Men;51;HINAYAH;MUHAMMAD;INA;1995;;;;;FALSE START;51;;;;;;;;
speed;Men;51;Leander;Carmanns;GER;2004;;;;;FALSE START;51;;;;;;;;
speed;Women;1;LIJUAN;DENG;CHN;2000;;;;;6.84;2;;;7.05;6.91;6.69;;6.66;1
speed;Women;2;Natalia;Kalucka;POL;2001;;;;;7.12;4;;;7.52;7.27;7.36;;7.20;2
speed;Women;3;Aleksandra;Kalucka;POL;2001;;;;;6.91;3;;;7.11;6.91;6.77;6.81;;3
speed;Women;4;DI;NIU;CHN;1996;;;;;7.31;8;;;7.23;7.30;7.70;FALL;;4
speed;Women;5;Emma;Hunt;USA;2003;;;;;7.18;5;;;7.15;8.07;;;;5
speed;Women;6;NURUL;IQAMAH;INA;1995;;;;;7.21;6;;;WILDCARD;7.09;;;;6
speed;Women;7;NARDA MUTIA;AMANDA;INA;2005;;;;;7.29;7;;;9.42;7.33;;;;7
speed;Women;8;YUFANG;XIE;CHN;2002;;;;;7.82;16;;;7.58;7.57;;;;8
speed;Women;9;DESAK;MADE RITA KUSUMA DEWI;INA;2001;;;;;6.75;1;;;8.22;;;;;9
speed;Women;10;Aurelia;Sarisson;FRA;1997;;;;;7.36;9;;;7.37;;;;;10
speed;Women;11;SHENGYAN;WANG;CHN;2000;;;;;7.40;10;;;FALL;;;;;11
speed;Women;12;RAHMAYUNA;FADILLAH;INA;1995;;;;;7.422;11;;;FALSE START;;;;;12
speed;Women;13;Jimin;JEONG;KOR;2004;;;;;7.427;12;;;7.47;;;;;13
speed;Women;14;Alivany;Ver Khadijah;INA;2002;;;;;7.63;13;;;7.82;;;;;14
speed;Women;15;Capucine;Viglione;FRA;2002;;;;;7.72;14;;;7.48;;;;;15
speed;Women;16;GUIZHEN;XIE;CHN;1998;;;;;7.73;15;;;7.78;;;;;16
speed;Women;17;EKA;DIAN KRISMAWATI;INA;2000;;;;;7.85;17;;;;;;;;
speed;Women;18;Patrycja;Chudziak;POL;1997;;;;;7.90;18;;;;;;;;
speed;Women;19;RAJIAH;SALLSABILLAH;INA;1999;;;;;7.99;19;;;;;;;;
speed;Women;20;Youjin;CHA;KOR;1999;;;;;8.09;20;;;;;;;;
speed;Women;21;Erica;Velev;CAN;2002;;;;;8.22;21;;;;;;;;
speed;Women;22;Julia;Koch;GER;2000;;;;;8.23;22;;;;;;;;
speed;Women;23;Liberty;Runnels;USA;2006;;;;;8.26;23;;;;;;;;
speed;Women;24;Nuria;Brockfeld;GER;2004;;;;;8.35;24;;;;;;;;
speed;Women;25;SUSAN;NURHIDAYAH;INA;2003;;;;;8.62;25;;;;;;;;
speed;Women;26;Karin;HAYASHI;JPN;2005;;;;;8.70;26;;;;;;;;
speed;Women;27;Haruka;KANETANI;JPN;2006;;;;;9.07;27;;;;;;;;
speed;Women;28;PUJA;LESTARI;INA;2003;;;;;9.08;28;;;;;;;;
speed;Women;29;Hung Ying;Lee;TPE;1985;;;;;9.09;29;;;;;;;;
speed;Women;30;NOOR;ARSYADA;INA;1995;;;;;9.28;30;;;;;;;;
speed;Women;31;Grace;Crowley;AUS;2003;;;;;9.42;31;;;;;;;;
speed;Women;32;Natsumi;HAYASHI;JPN;1991;;;;;9.50;32;;;;;;;;
speed;Women;33;Momona;TATSUKI;JPN;2005;;;;;10.17;33;;;;;;;;
speed;Women;34;Sarah;Tetzlaff;NZL;2000;;;;;10.23;34;;;;;;;;
speed;Women;35;Abby;Gebert;NZL;2004;;;;;11.11;35;;;;;;;;
speed;Women;36;Jorja;Rangi;NZL;2002;;;;;11.15;36;;;;;;;;
speed;Women;37;Anna;Brozek;POL;1995;;;;;FALSE START;37;;;;;;;;
