discipline;category;rank;firstname;lastname;country;yob;Qualification score;Qualification rank;Semi-final score;Semi-final rank;Final score;Final rank
boulder;Women;23;Katja;Debevec;SLO;1995;3T4z 8 7;23;;;;
boulder;Women;25;Laura;Rogora;ITA;2001;2T5z 3 7;25;;;;
boulder;Women;25;Quinn;Mason;USA;2003;3T5z 11 13;25;;;;
boulder;Women;25;Agathe;Calliet;FRA;2003;3T5z 11 13;25;;;;
boulder;Women;28;Sol;SA;KOR;1994;2T5z 3 11;28;;;;
boulder;Women;29;Kylie;Cullen;USA;2004;3T5z 13 6;29;;;;
boulder;Women;29;Sofya;Yokoyama;SUI;1998;2T5z 8 14;29;;;;
boulder;Women;31;Adriene;Clark;USA;2004;2T4z 2 14;31;;;;
boulder;Women;31;Aleksandra;Totkova;BUL;2005;3T4z 9 14;31;;;;
boulder;Women;33;Hannah;Slaney;GBR;1999;2T5z 4 6;33;;;;
boulder;Women;33;Yael;Taub;ISR;1996;2T4z 4 9;33;;;;
boulder;Women;35;Alannah;Yip;CAN;1993;2T5z 4 7;35;;;;
boulder;Women;35;Sandra;Lettner;AUT;2001;1T5z 3 17;35;;;;
boulder;Women;37;Valentina;Aguado;ARG;2001;2T5z 5 16;37;;;;
boulder;Women;37;Eva Maria;Hammelmüller;AUT;2000;1T4z 2 5;37;;;;
boulder;Women;39;Madison;Fischer;CAN;2001;2T5z 7 6;39;;;;
boulder;Women;39;Hana;KOIKE;JPN;2005;1T4z 2 6;39;;;;
boulder;Women;41;Roxana;Wienand;GER;2000;1T4z 3 7;41;;;;
boulder;Women;41;Federica;Papetti;ITA;2004;2T4z 3 9;41;;;;
boulder;Women;43;Flavy;Cohaut;FRA;2001;2T4z 4 9;43;;;;
boulder;Women;43;Saki;Kikuchi;JPN;2002;1T4z 7 7;43;;;;
boulder;Women;45;Irina;Daziano;ITA;2004;2T4z 5 14;45;;;;
boulder;Women;45;Rebeca;Pérez Duato;ESP;1998;1T3z 2 9;45;;;;
boulder;Women;47;Maya;Madere;USA;1999;2T3z 2 3;47;;;;
boulder;Women;47;Rocio Ailen;Becerra;ARG;1999;1T2z 6 13;47;;;;
boulder;Women;49;Tara;Hayes;GBR;1997;0T4z 0 4;49;;;;
boulder;Women;49;Giulia;Medici;ITA;1999;1T5z 2 14;49;;;;
boulder;Women;51;Leonie;Lochner;GER;2000;0T4z 0 5;51;;;;
boulder;Women;51;Maya;Dreamer;ISR;2001;1T5z 3 25;51;;;;
boulder;Women;53;Jennifer;Wood;GBR;1994;1T5z 4 14;53;;;;
boulder;Women;53;Aida;Torres Illamola;ESP;2002;0T4z 0 8;53;;;;
boulder;Women;55;Afra;Hönig;GER;1995;1T4z 1 12;55;;;;
boulder;Women;55;Paige;Boklaschuk;CAN;2002;0T4z 0 10;55;;;;
boulder;Women;57;Hung Ying;Lee;TPE;1985;1T4z 3 7;57;;;;
boulder;Women;57;HONGCHUN;XIANG;CHN;1998;0T4z 0 14;57;;;;
boulder;Women;59;YUETONG;Zhang;CHN;2003;1T4z 5 10;59;;;;
boulder;Women;59;Natalie;Bärtschi;SUI;1994;0T3z 0 4;59;;;;
boulder;Women;61;Margaryta;Zakharova;UKR;1995;0T3z 0 5;61;;;;
boulder;Women;61;Francesca;Matuella;ITA;2006;0T3z 0 5;61;;;;
boulder;Women;61;Miriam;Fogu;ITA;2002;0T4z 0 11;61;;;;
boulder;Women;64;Yejoo;SEO;KOR;2006;0T4z 0 20;64;;;;
boulder;Women;65;Beatrice;Colli;ITA;2004;0T3z 0 5;65;;;;
boulder;Women;65;Kseniia;ZAKHAROVA;UKR;2006;0T3z 0 8;65;;;;
boulder;Women;67;Laura;Loikas;FIN;2002;0T3z 0 15;67;;;;
boulder;Women;67;Yula;Gold;ISR;2002;0T3z 0 12;67;;;;
boulder;Women;69;Valeri;Kremer;ISR;1991;0T3z 0 14;69;;;;
boulder;Women;69;Anna Maria;Apel;GER;2005;0T2z 0 6;69;;;;
boulder;Women;69;Lia;Wieckowski;CAN;1997;0T2z 0 6;69;;;;
boulder;Women;72;Rebecca;Frangos;CAN;1997;0T2z 0 2;72;;;;
boulder;Women;72;Anastasia;KOBETS;UKR;2006;0T2z 0 2;72;;;;
boulder;Women;74;Mia;Weeda;AUS;2004;0T2z 0 18;74;;;;
boulder;Women;75;Phoebe;Kenderdine;NZL;2003;0T1z 0 2;75;;;;
boulder;Women;75;Wai-mui;LING;HKG;2001;0T2z 0 8;75;;;;
boulder;Women;77;Rugile;Tamosiunaite;LTU;2000;0T1z 0 4;77;;;;
boulder;Women;77;Tseng-shun;WONG;HKG;2001;0T1z 0 2;77;;;;
boulder;Women;79;Elizabeth;Sepulveda;PUR;2002;0T0z 0 0;79;;;;
boulder;Women;79;Siobhan;Dobie;AUS;1997;0T1z 0 5;79;;;;
