discipline;category;rank;firstname;lastname;country;yob;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
boulder;Men;15;Nicolai;Uznik;AUT;2000;5T5z 12 9;4;2T4z 7 11;15;;;;;;
boulder;Men;16;Anze;Peharc;SLO;1997;5T5z 9 7;3;2T3z 2 4;16;;;;;;
boulder;Men;17;Nicolas;Collin;BEL;1998;4T5z 8 8;8;2T3z 5 6;17;;;;;;
boulder;Men;18;Rei;Sugimoto;JPN;1991;4T5z 14 13;14;1T4z 1 10;18;;;;;;
boulder;Men;19;Sean;McColl;CAN;1987;4T4z 11 8;17;1T4z 3 16;19;;;;;;
boulder;Men;20;Yannick;Flohé;GER;1999;4T4z 7 6;15;1T4z 3 17;20;;;;;;
boulder;Men;21;Filip;Schenk;ITA;2000;3T5z 7 8;21;;;;;;;;
boulder;Men;22;Jan;Hojer;GER;1992;3T5z 7 9;22;;;;;;;;
boulder;Men;23;Christoph;Schweiger;GER;2001;3T5z 7 15;23;;;;;;;;
boulder;Men;24;Gregor;Vezonik;SLO;1995;3T5z 8 11;24;;;;;;;;
boulder;Men;25;Elias;Arriagada Krüger;GER;2000;3T5z 10 14;25;;;;;;;;
boulder;Men;26;Yuval;Shemla;ISR;1998;3T5z 13 13;26;;;;;;;;
boulder;Men;27;Mickael;Mawem;FRA;1990;3T4z 4 5;27;;;;;;;;
boulder;Men;28;Ross;Fulkerson;USA;2001;3T4z 4 10;28;;;;;;;;
boulder;Men;29;Alex;Khazanov;ISR;1995;3T4z 6 9;29;;;;;;;;
boulder;Men;29;Zander;Waller;USA;2003;3T4z 6 9;29;;;;;;;;
boulder;Men;31;Nathan;Phillips;GBR;1994;3T4z 9 10;31;;;;;;;;
boulder;Men;32;Tomoaki;Takata;JPN;1995;3T4z 10 7;32;;;;;;;;
boulder;Men;33;William;Ridal;GBR;1997;3T3z 4 4;33;;;;;;;;
boulder;Men;34;Kai;Harada;JPN;1999;2T5z 5 13;34;;;;;;;;
boulder;Men;35;Michael;Piccolruaz;ITA;1995;2T5z 5 15;35;;;;;;;;
boulder;Men;36;Max;Kleesattel;GER;1998;2T5z 11 15;36;;;;;;;;
boulder;Men;37;Benjamin;Hanna;USA;1998;2T4z 3 12;37;;;;;;;;
boulder;Men;38;Colin;Duffy;USA;2003;2T4z 5 7;38;;;;;;;;
boulder;Men;39;Matthew;Cousins;GBR;1989;2T4z 5 12;39;;;;;;;;
boulder;Men;40;Oscar;Baudrand;CAN;2005;2T4z 5 20;40;;;;;;;;
boulder;Men;41;Nimrod;Marcus;ISR;1999;2T4z 6 9;41;;;;;;;;
boulder;Men;42;Charles;Barron;USA;1998;2T4z 7 15;42;;;;;;;;
boulder;Men;43;Frederik;Viberg Christiansen;DEN;2001;1T3z 4 10;43;;;;;;;;
boulder;Men;44;Palmer;Larsen;USA;1995;1T3z 6 11;44;;;;;;;;
boulder;Men;45;Carmel;Raz romeo;ISR;2000;1T2z 4 5;45;;;;;;;;
boulder;Men;46;Christopher;Cosser;RSA;2000;1T2z 8 7;46;;;;;;;;
boulder;Men;47;Ludovico;Fossali;ITA;1997;1T1z 7 4;47;;;;;;;;
boulder;Men;48;Ram;Levin;ISR;1998;0T3z 0 4;48;;;;;;;;
boulder;Men;49;Stefan;Fellner;USA;2001;0T3z 0 13;49;;;;;;;;
boulder;Men;50;Theis Lindegren;Elfenbein;DEN;1997;0T2z 0 8;50;;;;;;;;
boulder;Men;51;Carlos;Granja;ECU;1999;0T1z 0 3;51;;;;;;;;
boulder;Men;52;Nickolaie;RIVADENEIRA ;ECU;2001;0T1z 0 8;52;;;;;;;;
boulder;Men;53;Paolo ;Rivadeneira;ECU;2004;0T1z 0 16;53;;;;;;;;
boulder;Men;54;Tomas;Chicaiza;ECU;2005;0T0z 0 0;54;;;;;;;;
boulder;Men;;Adam;Ondra;CZE;1993;DNS;;;;;;;;;
boulder;Women;1;Natalia;Grossman;USA;2001;5T5z 7 6;3;2T3z 8 3;6;;;;;4T4z 4 4;1
boulder;Women;2;Janja;Garnbret;SLO;1999;5T5z 6 5;1;3T4z 5 8;1;;;;;4T4z 6 6;2
boulder;Women;3;Brooke;Raboutou;USA;2001;4T4z 6 4;8;2T3z 5 6;4;;;;;3T4z 5 8;3
boulder;Women;4;Oriane;Bertone;FRA;2005;3T5z 6 12;17;2T4z 8 6;3;;;;;3T3z 9 5;4
boulder;Women;5;Stasa;Gejo;SRB;1997;4T4z 10 8;11;2T3z 5 6;5;;;;;3T3z 11 10;5
boulder;Women;6;Miho;Nonaka;JPN;1997;5T5z 6 6;2;2T4z 7 11;2;;;;;2T4z 5 9;6
boulder;Women;7;Katja;Debevec;SLO;1995;4T4z 11 8;12;1T4z 3 10;7;;;;;;
boulder;Women;8;Kyra;Condie;USA;1996;4T4z 9 8;10;1T4z 11 11;8;;;;;;
boulder;Women;9;Futaba;Ito;JPN;2002;5T5z 14 13;4;1T3z 1 7;9;;;;;;
boulder;Women;10;Fanny;Gibert;FRA;1993;4T5z 14 15;7;1T3z 3 6;10;;;;;;
boulder;Women;11;Afra;Hönig;GER;1995;4T4z 11 8;12;1T3z 4 7;11;;;;;;
boulder;Women;12;Petra;Klingler;SUI;1992;4T4z 11 9;14;1T3z 5 5;12;;;;;;
boulder;Women;13;Camilla;Moroni;ITA;2001;4T5z 13 16;6;1T3z 6 10;13;;;;;;
boulder;Women;14;Mao;Nakamura;JPN;2000;3T4z 8 9;19;1T2z 3 2;14;;;;;;
boulder;Women;15;Hannah;Meul;GER;2001;3T4z 6 6;18;0T3z 0 10;15;;;;;;
boulder;Women;16;Kylie;Cullen;USA;2004;4T4z 13 8;15;0T2z 0 6;16;;;;;;
boulder;Women;17;Vita;Lukan;SLO;2000;4T4z 16 14;16;0T2z 0 6;17;;;;;;
boulder;Women;18;Akiyo;Noguchi;JPN;1989;4T5z 11 15;5;0T2z 0 11;18;;;;;;
boulder;Women;19;Ryu;NAKAGAWA;JPN;2004;4T4z 6 4;8;0T2z 0 13;19;;;;;;
boulder;Women;20;Franziska;Sterrer;AUT;1998;3T4z 8 14;20;0T0z 0 0;20;;;;;;
boulder;Women;21;Lucia;Dörffel;GER;2000;3T4z 14 14;21;;;;;;;;
boulder;Women;22;Ayala;Kerem;ISR;2001;3T4z 16 17;22;;;;;;;;
boulder;Women;23;Giorgia;Tesio;ITA;2000;3T3z 7 5;23;;;;;;;;
boulder;Women;24;Alma;Bestvater;GER;1996;2T4z 3 13;24;;;;;;;;
boulder;Women;25;Maya;Madere;USA;1999;2T4z 3 15;25;;;;;;;;
boulder;Women;26;Chloe;Caulier;BEL;1996;2T4z 5 9;26;;;;;;;;
boulder;Women;27;Mailys;Piazzalunga;FRA;2001;2T4z 5 11;27;;;;;;;;
boulder;Women;28;Sienna;Kopf;USA;2002;2T4z 6 14;28;;;;;;;;
boulder;Women;29;Allison;Vest;CAN;1995;2T4z 7 12;29;;;;;;;;
boulder;Women;30;Megan;Lynch;USA;1998;2T4z 7 21;30;;;;;;;;
boulder;Women;31;Laura;Rogora;ITA;2001;2T4z 9 17;31;;;;;;;;
boulder;Women;32;Miku;ISHII;JPN;2000;2T3z 5 3;32;;;;;;;;
boulder;Women;33;Holly;Toothill;GBR;2001;2T3z 6 6;33;;;;;;;;
boulder;Women;34;Johanna;Färber;AUT;1998;2T2z 3 3;34;;;;;;;;
boulder;Women;35;Emily;Phillips;GBR;2002;1T4z 1 12;35;;;;;;;;
boulder;Women;36;Thea;Wulff;USA;2002;1T4z 1 15;36;;;;;;;;
boulder;Women;37;Hannah;Slaney;GBR;1999;1T3z 1 10;37;;;;;;;;
boulder;Women;38;GENEVIEVE;Dennis;USA;2004;1T3z 1 13;38;;;;;;;;
boulder;Women;39;Jennifer;Wood;GBR;1994;1T3z 2 8;39;;;;;;;;
boulder;Women;40;Campbell;Sarinopoulos;USA;2004;1T2z 1 9;40;;;;;;;;
boulder;Women;41;Katrine;Vandet Salling;DEN;1994;0T4z 0 8;41;;;;;;;;
boulder;Women;42;Leonie;Lochner;GER;2000;0T3z 0 9;42;;;;;;;;
boulder;Women;43;Alejandra;Contreras;CHI;2000;0T2z 0 9;43;;;;;;;;
boulder;Women;44;Naama;Yohai;ISR;2000;0T2z 0 12;44;;;;;;;;
boulder;Women;45;Molly;Thompson-Smith;GBR;1997;0T1z 0 1;45;;;;;;;;
boulder;Women;46;Elizabeth;Sepulveda;PUR;2002;0T1z 0 2;46;;;;;;;;
boulder;Women;47;Erin;Sterkenburg;RSA;2003;0T1z 0 3;47;;;;;;;;
boulder;Women;48;Anouck;Jaubert;FRA;1994;0T1z 0 4;48;;;;;;;;
boulder;Women;49;Kathrine Elsig;Jensen;DEN;1996;0T1z 0 5;49;;;;;;;;
boulder;Women;50;Natalia;Kalucka;POL;2001;0T0z 0 0;50;;;;;;;;
boulder;Women;;Yael;Taub;ISR;1996;DNS;;;;;;;;;
