discipline;category;rank;firstname;lastname;country;yob;Qualification 1 score;Qualification 1 rank;Qualification 2 score;Qualification 2 rank;Qualification score;Qualification rank;Semi-Final score;Semi-Final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
lead;Women;14;Lucija;Tarkus;SLO;2003;20+;17;29;21;23.81;26;32+;14;;;;;;
lead;Women;15;Eva Maria;Hammelmüller;AUT;2000;25;12;31;17;14.58;13;31+;15;;;;;;
lead;Women;16;Andrea;Kümin;SUI;1997;22;16;29+;19;17.66;17;31+;16;;;;;;
lead;Women;17;Kyra;Condie;USA;1996;30+;8;26+;24;15.0;14;30+;17;;;;;;
lead;Women;18;Fanny;Gibert;FRA;1993;32+;6;21+;40;16.32;15;27+;18;;;;;;
lead;Women;19;Käthe;Atkins;GER;2001;24+;14;23+;29;21.0;21;23;19;;;;;;
lead;Women;20;Cloe;Coscoy;USA;2001;25;12;21;43;23.32;25;21;20;;;;;;
lead;Women;21;Futaba;Ito;JPN;2002;20+;17;34+;13;18.73;18;20+;21;;;;;;
lead;Women;22;Tjasa;Slemensek;SLO;1999;20+;17;40+;4;12.19;11;20;22;;;;;;
lead;Women;23;Miu;KAKIZAKI;JPN;2003;20+;17;31+;15;20.46;19;20;23;;;;;;
lead;Women;24;Dinara;Fakhritdinova;RUS;1992;30+;8;40;8;8.49;8;14+;24;;;;;;
lead;Women;25;Martina;Demmel;GER;2001;20+;17;29+;19;22.95;24;12+;25;;;;;;
lead;Women;26;Julia;Duffy;USA;2004;24;15;23+;29;21.74;22;12;26;;;;;;
lead;Women;27;Lynn;van der Meer;NED;1999;20+;17;28+;22;24.37;27;;;;;;;;
lead;Women;28;Tina Johnsen;Hafsaas;NOR;1994;20+;17;26+;24;25.98;28;;;;;;;;
lead;Women;29;Celine;Cuypers;BEL;1998;20+;17;26;27;27.0;29;;;;;;;;
lead;Women;30;Roxana;Wienand;GER;2000;20+;17;23+;29;29.16;30;;;;;;;;
lead;Women;30;Michelle;Hulliger;SUI;1999;20+;17;23+;29;29.16;30;;;;;;;;
lead;Women;30;Tomona;TAKAO;JPN;2004;20+;17;23+;29;29.16;30;;;;;;;;
lead;Women;33;Claudia;Ghisolfi;ITA;1996;19;42;27+;23;31.26;33;;;;;;;;
lead;Women;34;Anne-Sophie;Koller;SUI;1996;19+;38;26+;24;31.42;34;;;;;;;;
lead;Women;35;Ayala;Kerem;ISR;2001;20+;17;22+;36;31.61;35;;;;;;;;
lead;Women;35;Luisa;Flohé;GER;2001;20+;17;22+;36;31.61;35;;;;;;;;
lead;Women;37;Sunniva;Øvre-Eide;NOR;2004;20+;17;22;39;32.45;37;;;;;;;;
lead;Women;38;Ignacia;Mellado Quinteros;CHI;2002;19+;38;24+;28;33.26;38;;;;;;;;
lead;Women;39;Valentina;Aguado;ARG;2001;20+;17;21+;40;33.27;39;;;;;;;;
lead;Women;39;Maya;Madere;USA;1999;20+;17;21+;40;33.27;39;;;;;;;;
lead;Women;41;Naama;Yohai;ISR;2000;19+;38;23;35;37.18;41;;;;;;;;
