"country","Year","discipline","AthleteNo","CountryRankA","CountryRankW","CountryRankB"
"IND",2022,"lead",2,72,90,35
"IND",2022,"speed",2,38,43,34
"IRL",2021,"boulder",2,72,76,67
"IRL",2022,"boulder",2,72,124,41
"IRL",2022,"lead",1,63,63,63
"IRN",2021,"boulder",4,61,83,18
"IRN",2021,"combined",2,6,9,3
"IRN",2021,"lead",6,60,92,35
"IRN",2021,"speed",5,24,37,9
"IRN",2022,"boulder",3,69,99,19
"IRN",2022,"lead",1,87,87,87
"IRN",2022,"speed",2,26,51,5
"ISR",2021,"boulder",11,44,71,5
"ISR",2021,"lead",6,48,91,24
"ISR",2022,"boulder",7,40,110,6
"ISR",2022,"boulder&lead",1,23,23,23
"ISR",2022,"lead",4,38,85,15
"ITA",2021,"boulder",8,33,95,2
"ITA",2021,"lead",8,30,92,1
"ITA",2021,"speed",5,18,29,9
"ITA",2022,"boulder",6,31,77,5
"ITA",2022,"lead",7,23,69,2
"ITA",2022,"speed",5,20,52,3
"JPN",2021,"boulder",14,14,48,1
"JPN",2021,"lead",10,16,80,1
"JPN",2021,"speed",8,28,49,3
"JPN",2022,"boulder",15,17,51,1
"JPN",2022,"boulder&lead",16,8,19,1
"JPN",2022,"lead",12,15,52,1
"JPN",2022,"speed",7,28,60,10
"KAZ",2021,"boulder",2,73,81,43
"KAZ",2021,"combined",1,4,4,4
"KAZ",2021,"lead",2,60,84,38
"KAZ",2021,"speed",6,28,66,7
"KAZ",2022,"lead",2,54,85,31
"KAZ",2022,"speed",3,23,50,6
"KOR",2021,"boulder",2,26,79,8
"KOR",2021,"lead",4,32,80,1
"KOR",2021,"speed",4,30,51,19
"KOR",2022,"boulder",10,34,129,2
"KOR",2022,"boulder&lead",3,18,31,3
"KOR",2022,"lead",5,20,97,2
"KOR",2022,"speed",9,22,42,6
"LTU",2021,"boulder",4,76,103,51
"LTU",2021,"lead",1,69,90,59
"LTU",2022,"boulder",2,80,100,67
"LUX",2021,"boulder",1,100,100,100
"LUX",2022,"boulder",1,89,89,89
"LVA",2021,"boulder",4,52,97,25
"LVA",2021,"lead",2,68,93,56
"LVA",2022,"boulder",1,48,71,21
"LVA",2022,"lead",1,115,115,115
"MEX",2021,"lead",3,70,82,53
"MEX",2021,"speed",2,44,47,42
"MEX",2022,"boulder",6,61,71,47
"MEX",2022,"lead",2,65,94,42
"MEX",2022,"speed",3,30,39,23
"MNG",2022,"boulder&lead",1,28,28,28
"MUS",2021,"lead",1,56,56,56
"MUS",2022,"boulder",1,75,83,53
"MUS",2022,"lead",1,91,91,91
"MUS",2022,"speed",2,38,44,31
"NLD",2021,"boulder",5,53,86,27
"NLD",2021,"lead",4,42,72,15
"NLD",2022,"boulder",4,61,94,31
"NLD",2022,"lead",2,36,75,18
"NOR",2021,"boulder",4,62,86,39
"NOR",2021,"lead",3,52,70,31
"NOR",2022,"boulder",4,66,123,47
"NOR",2022,"boulder&lead",1,28,28,28
"NOR",2022,"lead",4,58,105,28
"NZL",2021,"lead",1,78,78,78
"NZL",2022,"boulder",3,100,134,75
"NZL",2022,"lead",1,81,103,71
"NZL",2022,"speed",5,39,48,34
"PER",2022,"boulder",1,61,61,61
"POL",2021,"boulder",1,72,88,50
"POL",2021,"lead",2,66,70,65
"POL",2021,"speed",5,9,44,1
"POL",2022,"boulder",2,79,97,55
"POL",2022,"lead",2,63,95,46
"POL",2022,"speed",5,9,37,1
"PRI",2021,"boulder",2,60,71,46
"PRI",2021,"lead",1,70,71,69
"PRI",2022,"boulder",1,66,81,47
"PRI",2022,"lead",1,68,87,45
"ROU",2021,"boulder",4,102,110,94
"RUS",2021,"boulder",8,28,75,4
"RUS",2021,"lead",4,23,69,2
"RUS",2021,"speed",10,14,49,2
"RUS",2022,"lead",5,32,49,10
"RUS",2022,"speed",16,17,38,1
"SGP",2022,"boulder",4,42,61,22
"SGP",2022,"boulder&lead",1,25,25,25
"SGP",2022,"lead",2,30,31,30
"SRB",2021,"boulder",1,7,13,3
"SRB",2021,"lead",1,52,57,46
"SRB",2022,"boulder",1,9,16,4
"SRB",2022,"lead",2,35,51,11
"SVK",2021,"boulder",3,90,110,67
"SVK",2021,"lead",3,56,88,15
"SVK",2021,"speed",1,40,40,40
"SVK",2022,"boulder",2,75,77,73
"SVK",2022,"lead",2,54,57,52
"SVN",2021,"boulder",10,19,57,1
"SVN",2021,"combined",1,2,2,2
"SVN",2021,"lead",12,20,54,1
"SVN",2021,"speed",1,19,23,15
"SVN",2022,"boulder",7,25,59,1
"SVN",2022,"boulder&lead",3,17,22,8
"SVN",2022,"lead",11,19,72,1
"SVN",2022,"speed",2,23,33,13
"SWE",2021,"boulder",4,67,90,55
"SWE",2021,"lead",3,51,89,10
"SWE",2022,"boulder",3,73,113,49
"SWE",2022,"boulder&lead",1,18,18,18
"SWE",2022,"lead",3,58,99,10
"THA",2021,"boulder",5,71,77,67
"THA",2021,"lead",5,75,86,56
"THA",2021,"speed",3,30,34,26
"THA",2022,"boulder",1,52,53,51
"THA",2022,"speed",1,37,39,35
"TUR",2021,"boulder",5,83,97,73
"TUR",2021,"combined",2,14,15,13
"TUR",2021,"lead",5,82,97,65
