discipline;category;rank;firstname;lastname;country;yob;Qualification score;Qualification rank;Semi-final score;Semi-final rank;1/8 score;1/4 score;1/2 score;Small Final score;Final score;Final rank
speed;Men;1;KIROMAL;KATIBIN;INA;2000;5.42;2;;;5.45;5.59;5.49;;5.64;1
speed;Men;2;Noah;Bratschi;USA;2000;5.769;8;;;5.87;5.73;5.64;;FALL;2
speed;Men;3;VEDDRIQ;LEONARDO;INA;1997;5.687;5;;;5.48;5.60;FALL;5.59;;3
speed;Men;4;Ludovico;Fossali;ITA;1997;5.70;6;;;5.79;6.50;FALL;FALL;;4
speed;Men;5;John;Brosler;USA;1997;5.20 (PaR);1;;;5.89;6.27;;;;5
speed;Men;6;Amir;Maimuratov;KAZ;1995;5.67;3;;;5.87;7.03;;;;6
speed;Men;7;Carlos;Granja;ECU;1999;5.762;7;;;6.10;5.73;;;;7
speed;Men;8;Samuel;Watson;USA;2006;6.03;13;;;5.81;FALL;;;;8
speed;Men;9;Erik;Noya Cardona;ESP;1994;5.685;4;;;7.69;;;;;9
speed;Men;10;Marcin;Dzienski;POL;1993;5.78;9;;;6.69;;;;;10
speed;Men;11;Guillaume;Moro;FRA;1994;5.79;10;;;9.40;;;;;11
speed;Men;12;Merritt;Ernsberger;USA;1999;5.89;11;;;FALL;;;;;12
speed;Men;13;Pierre;Rebreyend;FRA;1997;5.92;12;;;5.93;;;;;13
speed;Men;14;Ethan;Pitcher;CAN;2001;6.063;14;;;8.50;;;;;14
speed;Men;15;Gian Luca;Zodda;ITA;1999;6.067;15;;;6.91;;;;;15
speed;Men;16;Quinn;O'Francia;USA;2004;6.09;16;;;6.26;;;;;16
speed;Men;17;Joe;Goodacre;USA;2001;6.10;17;;;;;;;;
speed;Men;18;Yudai;Ikeda;JPN;1998;6.12;18;;;;;;;;
speed;Men;19;Tobias;Plangger;AUT;2001;6.15;19;;;;;;;;
speed;Men;20;Lukas;Knapp;AUT;1997;6.16;20;;;;;;;;
speed;Men;21;Nickolaie;RIVADENEIRA ;ECU;2001;6.30;21;;;;;;;;
speed;Men;22;Linus;Bader;GER;2002;6.39;22;;;;;;;;
speed;Men;23;Sebastian;Lucke;GER;2002;6.43;23;;;;;;;;
speed;Men;24;Ayumu;MITA;JPN;2005;6.47;24;;;;;;;;
speed;Men;25;Shuto;FUJINO;JPN;2004;6.59;25;;;;;;;;
